zip_code,city,state
50010,Ames,IA
83705,Boise,ID
27217,Burlington,NC
52722,Bettendorf,IA
28273,Charlotte,NC
92344,Hesperia,CA
92345,Hesperia,CA
90250,Hawthorne,CA
91344,Granada Hills,CA
19904,Dover,DE
29644,Fountain Inn,SC
17042,Lebanon,PA
19703,Claymont,DE
85226,Chandler,AZ
54467,Plover,WI
80012,Aurora,CO
62933,Energy,IL
72751,Pea Ridge,AR
37040,Clarksville,TN
44601,Alliance,OH
72022,Bryant,AR
86004,Flagstaff,AZ
57006,Brookings,SD
85120,Apache Junction,AZ
24701,Bluefield,WV
25801,Beckley,WV
60035,Highland Park,IL
26201,Buckhannon,WV
82414,Cody,WY
82009,Cheyenne,WY
38017,Collierville,TN
82604,Casper,WY
38016,Cordova,TN
57601,Mobridge,SD
43512,Defiance,OH
45324,Fairborn,OH
57401,Aberdeen,SD
37617,Blountville,TN
40403,Berea,KY
43920,East Liverpool,OH
45804,Lima,OH
43113,Circleville,OH
44024,Chardon,OH
43311,Bellefontaine,OH
44147,Broadview Heights,OH
54729,Chippewa Falls,WI
53115,Delavan,WI
24073,Christiansburg,VA
23901,Farmville,VA
22903,Charlottesville,VA
97030,Gresham,OR
79924,El Paso,TX
77488,Wharton,TX
75020,Denison,TX
78576,Penitas,TX
78852,Eagle Pass,TX
78840,Del Rio,TX
77803,Bryan,TX
76033,Cleburne,TX
76028,Burleson,TX
77401,Bellaire,TX
79606,Abilene,TX
78102,Beeville,TX
78146,Pettus,TX
78387,Sinton,TX
77515,Angleton,TX
19031,Flourtown,PA
21620,Chestertown,MD
78332,Alice,TX
32809,Orlando,FL
21045,Columbia,MD
21075,Elkridge,MD
19030,Fairless Hills,PA
17522,Ephrata,PA
52501,Ottumwa,IA
24210,Abingdon,VA
22306,Alexandria,VA
15931,Ebensburg,PA
16509,Erie,PA
16504,Erie,PA
41042,Florence,KY
18036,Coopersburg,PA
16214,Clarion,PA
15317,Canonsburg,PA
18603,Berwick,PA
15102,Bethel Park,PA
40601,Frankfort,KY
98103,Seattle,WA
47933,Crawfordsville,IN
53220,Milwaukee,WI
84041,Layton,UT
46526,Goshen,IN
29341,Gaffney,SC
89801,Elko,NV
11727,Coram,NY
20707,Laurel,MD
39601,Brookhaven,MS
14830,Corning,NY
11701,Amityville,NY
29671,Pickens,SC
29303,Spartanburg,SC
21054,Gambrills,MD
28377,Red Springs,NC
11542,Glen Cove,NY
75790,Van,TX
77990,Tivoli,TX
75785,Rusk,TX
79007,Borger,TX
78666,San Marcos,TX
78205,San Antonio,TX
78223,San Antonio,TX
23454,Virginia Beach,VA
23517,Norfolk,VA
23230,Richmond,VA
24017,Roanoke,VA
23704,Portsmouth,VA
24301,Pulaski,VA
23505,Norfolk,VA
23608,Newport News,VA
24502,Lynchburg,VA
23868,Lawrenceville,VA
24501,Lynchburg,VA
83642,Meridian,ID
89103,Las Vegas,NV
89128,Las Vegas,NV
89117,Las Vegas,NV
89403,Dayton,NV
48315,Utica,MI
48108,Ann Arbor,MI
93312,Bakersfield,CA
46368,Portage,IN
47711,Evansville,IN
46201,Indianapolis,IN
46544,Mishawaka,IN
47712,Evansville,IN
46962,North Manchester,IN
47150,New Albany,IN
48184,Wayne,MI
61938,Mattoon,IL
60634,Chicago,IL
61738,El Paso,IL
61853,Mahomet,IL
02140,Cambridge,MA
02109,Boston,MA
02115,Boston,MA
48146,Lincoln Park,MI
44646,Massillon,OH
28086,Kings Mountain,NC
61554,Pekin,IL
61614,Peoria,IL
85296,Gilbert,AZ
62675,Petersburg,IL
62521,Decatur,IL
60013,Cary,IL
61462,Monmouth,IL
62959,Marion,IL
43212,Columbus,OH
90041,Los Angeles,CA
61064,Polo,IL
74501,McAlester,OK
73114,Oklahoma City,OK
70507,Lafayette,LA
48457,Montrose,MI
20109,Manassas,VA
43560,Sylvania,OH
30120,Cartersville,GA
30108,Bowdon,GA
31211,Macon,GA
30504,Gainesville,GA
31093,Warner Robins,GA
31705,Albany,GA
31707,Albany,GA
30204,Barnesville,GA
29860,North Augusta,SC
32526,Pensacola,FL
32405,Panama City,FL
30319,Atlanta,GA
30341,Atlanta,GA
30236,Jonesboro,GA
30308,Atlanta,GA
32218,Jacksonville,FL
32233,Atlantic Beach,FL
32547,Fort Walton Beach,FL
32440,Graceville,FL
32720,DeLand,FL
19952,Harrington,DE
32324,Chattahoochee,FL
72764,Springdale,AR
24012,Roanoke,VA
04401,Bangor,ME
24083,Daleville,VA
58601,Dickinson,ND
27205,Asheboro,NC
27103,Winston-Salem,NC
63104,Saint Louis,MO
70535,Eunice,LA
63028,Festus,MO
63033,Florissant,MO
63701,Cape Girardeau,MO
44310,Akron,OH
44663,New Philadelphia,OH
43725,Cambridge,OH
29501,Florence,SC
29505,Florence,SC
03038,Derry,NH
05701,Rutland,VT
05450,Enosburg Falls,VT
72390,West Helena,AR
05403,South Burlington,VT
05452,Essex Junction,VT
05446,Colchester,VT
30103,Adairsville,GA
84116,Salt Lake City,UT
84405,Ogden,UT
84604,Provo,UT
99037,Veradale,WA
84302,Brigham City,UT
98597,Yelm,WA
26301,Clarksburg,WV
98901,Yakima,WA
98908,Yakima,WA
99362,Walla Walla,WA
98674,Woodland,WA
48823,East Lansing,MI
90023,Los Angeles,CA
48423,Davison,MI
42071,Murray,KY
42301,Owensboro,KY
07070,Rutherford,NJ
68137,Omaha,NE
49720,Charlevoix,MI
68005,Bellevue,NE
68025,Fremont,NE
68701,Norfolk,NE
68066,Wahoo,NE
48609,Saginaw,MI
07648,Norwood,NJ
07828,Budd Lake,NJ
48326,Auburn Hills,MI
61008,Belvidere,IL
62230,Breese,IL
60408,Braidwood,IL
60440,Bolingbrook,IL
60915,Bradley,IL
60914,Bourbonnais,IL
49080,Plainwell,MI
60402,Berwyn,IL
62223,Belleville,IL
60506,Aurora,IL
60504,Aurora,IL
49707,Alpena,MI
70663,Sulphur,LA
61231,Aledo,IL
60102,Algonquin,IL
77304,Conroe,TX
83651,Nampa,ID
70809,Baton Rouge,LA
83616,Eagle,ID
83617,Emmett,ID
15012,Belle Vernon,PA
15001,Aliquippa,PA
27591,Wendell,NC
28358,Lumberton,NC
93534,Lancaster,CA
75462,Paris,TX
76180,North Richland Hills,TX
75068,Little Elm,TX
79416,Lubbock,TX
76248,Keller,TX
76531,Hamilton,TX
76240,Gainesville,TX
55318,Chaska,MN
55306,Burnsville,MN
39206,Jackson,MS
39532,Biloxi,MS
39702,Columbus,MS
27262,High Point,NC
56007,Albert Lea,MN
27613,Raleigh,NC
59923,Libby,MT
98225,Bellingham,WA
39563,Moss Point,MS
27295,Lexington,NC
27284,Kernersville,NC
59715,Bozeman,MT
28613,Conover,NC
59802,Missoula,MT
38732,Cleveland,MS
39530,Biloxi,MS
38671,Southaven,MS
27410,Greensboro,NC
27874,Scotland Neck,NC
28304,Fayetteville,NC
59937,Whitefish,MT
28269,Charlotte,NC
28212,Charlotte,NC
28147,Salisbury,NC
28215,Charlotte,NC
95035,Milpitas,CA
93454,Santa Maria,CA
95815,Sacramento,CA
11228,Brooklyn,NY
11201,Brooklyn,NY
27292,Lexington,NC
62208,Fairview Heights,IL
63601,Park Hills,MO
11216,Brooklyn,NY
10457,Bronx,NY
10465,Bronx,NY
61112,Rockford,IL
71291,West Monroe,LA
48353,Hartland,MI
61104,Rockford,IL
62301,Quincy,IL
60471,Richton Park,IL
61764,Pontiac,IL
23601,Newport News,VA
43123,Grove City,OH
61348,Oglesby,IL
95603,Auburn,CA
95531,Crescent City,CA
95380,Turlock,CA
49855,Marquette,MI
95382,Turlock,CA
21801,Salisbury,MD
43026,Hilliard,OH
21090,Linthicum Heights,MD
62864,Mount Vernon,IL
21613,Cambridge,MD
45013,Hamilton,OH
62863,Mount Carmel,IL
43230,Columbus,OH
60538,Montgomery,IL
18914,Chalfont,PA
61265,Moline,IL
60160,Melrose Park,IL
45406,Dayton,OH
45420,Dayton,OH
45431,Dayton,OH
32827,Orlando,FL
45439,Dayton,OH
61611,East Peoria,IL
43235,Columbus,OH
43219,Columbus,OH
61115,Machesney Park,IL
61455,Macomb,IL
17970,Saint Clair,PA
17972,Schuylkill Haven,PA
17815,Bloomsburg,PA
17512,Columbia,PA
17517,Denver,PA
60901,Kankakee,IL
60435,Joliet,IL
60031,Gurnee,IL
60025,Glenview,IL
62040,Granite City,IL
60804,Cicero,IL
32807,Orlando,FL
32836,Orlando,FL
60631,Chicago,IL
33155,Miami,FL
33165,Miami,FL
60115,DeKalb,IL
19104,Philadelphia,PA
02136,Hyde Park,MA
02138,Cambridge,MA
01754,Maynard,MA
90047,Los Angeles,CA
91351,Canyon Country,CA
30188,Woodstock,GA
84040,Layton,UT
90266,Manhattan Beach,CA
95341,Merced,CA
60455,Bridgeview,IL
90006,Los Angeles,CA
95350,Modesto,CA
90746,Carson,CA
93618,Dinuba,CA
94303,Palo Alto,CA
95825,Sacramento,CA
95691,West Sacramento,CA
94591,Vallejo,CA
91201,Glendale,CA
91709,Chino Hills,CA
94547,Hercules,CA
92704,Santa Ana,CA
93955,Seaside,CA
94014,Daly City,CA
95776,Woodland,CA
95076,Watsonville,CA
35215,Birmingham,AL
25401,Martinsburg,WV
23693,Yorktown,VA
23188,Williamsburg,VA
23464,Virginia Beach,VA
24018,Roanoke,VA
23294,Henrico,VA
23502,Norfolk,VA
23666,Hampton,VA
22401,Fredericksburg,VA
24540,Danville,VA
20151,Chantilly,VA
22901,Charlottesville,VA
84107,Salt Lake City,UT
74578,Wilburton,OK
74426,Checotah,OK
74055,Owasso,OK
73438,Healdton,OK
44278,Tallmadge,OH
44509,Youngstown,OH
48030,Hazel Park,MI
48205,Detroit,MI
44223,Cuyahoga Falls,OH
44708,Canton,OH
48858,Mount Pleasant,MI
85040,Phoenix,AZ
20740,College Park,MD
85013,Phoenix,AZ
85009,Phoenix,AZ
85323,Avondale,AZ
78945,La Grange,TX
47331,Connersville,IN
48507,Flint,MI
78384,San Diego,TX
61032,Freeport,IL
49601,Cadillac,MI
49544,Grand Rapids,MI
49509,Wyoming,MI
49505,Grand Rapids,MI
49418,Grandville,MI
49423,Holland,MI
49242,Hillsdale,MI
49331,Lowell,MI
49202,Jackson,MI
49068,Marshall,MI
49024,Portage,MI
49001,Kalamazoo,MI
48911,Lansing,MI
48879,Saint Johns,MI
48722,Bridgeport,MI
48642,Midland,MI
48661,West Branch,MI
48617,Clare,MI
48629,Houghton Lake,MI
48446,Lapeer,MI
48439,Grand Blanc,MI
03104,Manchester,NH
67211,Wichita,KS
62401,Effingham,IL
83702,Boise,ID
44138,Olmsted Falls,OH
94564,Pinole,CA
44707,Canton,OH
23518,Norfolk,VA
94509,Antioch,CA
91792,West Covina,CA
30132,Dallas,GA
93711,Fresno,CA
92832,Fullerton,CA
30513,Blue Ridge,GA
92879,Corona,CA
93720,Fresno,CA
91367,Woodland Hills,CA
91762,Ontario,CA
94087,Sunnyvale,CA
90745,Carson,CA
94533,Fairfield,CA
91001,Altadena,CA
30101,Acworth,GA
10458,Bronx,NY
10460,Bronx,NY
30066,Marietta,GA
93313,Bakersfield,CA
10462,Bronx,NY
11105,Astoria,NY
93631,Kingsburg,CA
66701,Fort Scott,KS
93449,Pismo Beach,CA
93433,Grover Beach,CA
93444,Nipomo,CA
93305,Bakersfield,CA
93301,Bakersfield,CA
93274,Tulare,CA
32601,Gainesville,FL
37830,Oak Ridge,TN
37203,Nashville,TN
37204,Nashville,TN
37921,Knoxville,TN
37412,Chattanooga,TN
67337,Coffeyville,KS
29841,North Augusta,SC
39157,Ridgeland,MS
30076,Roswell,GA
30161,Rome,GA
31069,Perry,GA
31322,Pooler,GA
83814,Coeur d'Alene,ID
17362,Spring Grove,PA
17268,Waynesboro,PA
16874,Snow Shoe,PA
16933,Mansfield,PA
17011,Camp Hill,PA
16673,Roaring Spring,PA
16506,Erie,PA
16510,Erie,PA
16354,Titusville,PA
97503,White City,OR
97068,West Linn,OR
97060,Troutdale,OR
33012,Hialeah,FL
54913,Appleton,WI
19701,Bear,DE
97478,Springfield,OR
08102,Camden,NJ
97301,Salem,OR
97304,Salem,OR
32608,Gainesville,FL
97306,Salem,OR
32571,Milton,FL
15017,Bridgeville,PA
31313,Hinesville,GA
30501,Gainesville,GA
97470,Roseburg,OR
30643,Hartwell,GA
31036,Hawkinsville,GA
97756,Redmond,OR
97266,Portland,OR
97232,Portland,OR
97233,Portland,OR
97220,Portland,OR
30542,Flowery Branch,GA
97217,Portland,OR
31750,Fitzgerald,GA
30635,Elberton,GA
97211,Portland,OR
97222,Portland,OR
97204,Portland,OR
97209,Portland,OR
30340,Atlanta,GA
97203,Portland,OR
97201,Portland,OR
97202,Portland,OR
30135,Douglasville,GA
30540,Ellijay,GA
97045,Oregon City,OR
97801,Pendleton,OR
30030,Decatur,GA
97914,Ontario,OR
32708,Winter Springs,FL
97463,Oakridge,OR
97365,Newport,OR
30721,Dalton,GA
30157,Dallas,GA
97504,Medford,OR
22407,Fredericksburg,VA
30040,Cumming,GA
76502,Temple,TX
98631,Long Beach,WA
30014,Covington,GA
27856,Nashville,NC
28658,Newton,NC
30013,Conyers,GA
27030,Mount Airy,NC
28117,Mooresville,NC
28655,Morganton,NC
31904,Columbus,GA
28504,Kinston,NC
30116,Carrollton,GA
32541,Destin,FL
39216,Jackson,MS
28580,Snow Hill,NC
32536,Crestview,FL
92705,Santa Ana,CA
59047,Livingston,MT
59722,Deer Lodge,MT
27909,Elizabeth City,NC
34711,Clermont,FL
27577,Smithfield,NC
28213,Charlotte,NC
28645,Lenoir,NC
39503,Gulfport,MS
28904,Hayesville,NC
28211,Charlotte,NC
28052,Gastonia,NC
39202,Jackson,MS
27288,Eden,NC
27317,Randleman,NC
27517,Chapel Hill,NC
28327,Carthage,NC
27886,Tarboro,NC
28320,Bladenboro,NC
97351,Independence,OR
97031,Hood River,OR
97080,Gresham,OR
97305,Salem,OR
75154,Red Oak,TX
97027,Gladstone,OR
97526,Grants Pass,OR
48334,Farmington,MI
28590,Winterville,NC
97439,Florence,OR
31206,Macon,GA
97402,Eugene,OR
97404,Eugene,OR
31636,Lake Park,GA
22044,Falls Church,VA
97330,Corvallis,OR
97420,Coos Bay,OR
30032,Decatur,GA
43213,Columbus,OH
97702,Bend,OR
97103,Astoria,OR
97321,Albany,OR
32177,Palatka,FL
32504,Pensacola,FL
57580,Winner,SD
32073,Orange Park,FL
32570,Milton,FL
57069,Vermillion,SD
57106,Sioux Falls,SD
57201,Watertown,SD
32205,Jacksonville,FL
36081,Troy,AL
57783,Spearfish,SD
32210,Jacksonville,FL
06851,Norwalk,CT
36117,Montgomery,AL
57103,Sioux Falls,SD
57702,Rapid City,SD
57701,Rapid City,SD
57703,Rapid City,SD
92629,Dana Point,CA
57501,Pierre,SD
57325,Chamberlain,SD
56308,Alexandria,MN
55432,Minneapolis,MN
46725,Columbia City,IN
55317,Chanhassen,MN
55420,Minneapolis,MN
62702,Springfield,IL
61071,Rock Falls,IL
54601,La Crosse,WI
61866,Rantoul,IL
55434,Minneapolis,MN
55119,Saint Paul,MN
55408,Minneapolis,MN
55337,Burnsville,MN
90717,Lomita,CA
55113,Saint Paul,MN
62656,Lincoln,IL
62254,Lebanon,IL
55378,Savage,MN
93314,Bakersfield,CA
61021,Dixon,IL
62522,Decatur,IL
94080,South San Francisco,CA
92508,Riverside,CA
92646,Huntington Beach,CA
95661,Roseville,CA
50703,Waterloo,IA
52342,Toledo,IA
52641,Mount Pleasant,IA
52314,Mount Vernon,IA
50158,Marshalltown,IA
50138,Knoxville,IA
91748,Rowland Heights,CA
95020,Gilroy,CA
50112,Grinnell,IA
94901,San Rafael,CA
90247,Gardena,CA
45011,Hamilton,OH
94536,Fremont,CA
41815,Ermine,KY
41056,Maysville,KY
41503,South Williamson,KY
93727,Fresno,CA
48044,Macomb,MI
57365,Oacoma,SD
03103,Manchester,NH
74728,Broken Bow,OK
17931,Frackville,PA
97501,Medford,OR
18840,Sayre,PA
24084,Dublin,VA
95501,Eureka,CA
22942,Gordonsville,VA
85739,Tucson,AZ
45150,Milford,OH
45211,Cincinnati,OH
45231,Cincinnati,OH
45042,Middletown,OH
45040,Mason,OH
71913,Hot Springs National Park,AR
87113,Albuquerque,NM
40165,Shepherdsville,KY
97128,McMinnville,OR
63084,Union,MO
56301,Saint Cloud,MN
56701,Thief River Falls,MN
56187,Worthington,MN
91765,Diamond Bar,CA
56001,Mankato,MN
55902,Rochester,MN
55449,Minneapolis,MN
55433,Minneapolis,MN
55416,Minneapolis,MN
55369,Osseo,MN
55379,Shakopee,MN
55124,Saint Paul,MN
55116,Saint Paul,MN
55021,Faribault,MN
55109,Saint Paul,MN
55045,Lindstrom,MN
55008,Cambridge,MN
92324,Colton,CA
91910,Chula Vista,CA
37912,Knoxville,TN
95610,Citrus Heights,CA
95988,Willows,CA
85204,Mesa,AZ
91324,Northridge,CA
91325,Northridge,CA
95242,Lodi,CA
89119,Las Vegas,NV
90631,La Habra,CA
92532,Lake Elsinore,CA
90255,Huntington Park,CA
93111,Santa Barbara,CA
85295,Gilbert,AZ
91204,Glendale,CA
91710,Chino,CA
92128,San Diego,CA
95008,Campbell,CA
90813,Long Beach,CA
95608,Carmichael,CA
91303,Canoga Park,CA
84660,Spanish Fork,UT
92821,Brea,CA
84060,Park City,UT
93422,Atascadero,CA
84737,Hurricane,UT
92227,Brawley,CA
94510,Benicia,CA
78801,Uvalde,TX
90706,Bellflower,CA
75090,Sherman,TX
60430,Homewood,IL
91006,Arcadia,CA
60073,Round Lake,IL
60071,Richmond,IL
61354,Peru,IL
61604,Peoria,IL
60465,Palos Hills,IL
29627,Belton,SC
60064,North Chicago,IL
61761,Normal,IL
60714,Niles,IL
61550,Morton,IL
91301,Agoura Hills,CA
58401,Jamestown,ND
20794,Jessup,MD
60431,Joliet,IL
99701,Fairbanks,AK
60139,Glendale Heights,IL
21076,Hanover,MD
86401,Kingman,AZ
99577,Eagle River,AK
85298,Gilbert,AZ
85131,Eloy,AZ
21043,Ellicott City,MD
21921,Elkton,MD
85286,Chandler,AZ
21222,Dundalk,MD
21817,Crisfield,MD
21029,Clarksville,MD
21228,Catonsville,MD
11226,Brooklyn,NY
19140,Philadelphia,PA
95472,Sebastopol,CA
75070,McKinney,TX
78109,Converse,TX
78597,South Padre Island,TX
71108,Shreveport,LA
77379,Spring,TX
92543,Hemet,CA
78414,Corpus Christi,TX
71303,Alexandria,LA
01420,Fitchburg,MA
01109,Springfield,MA
71483,Winnfield,LA
71220,Bastrop,LA
71129,Shreveport,LA
70816,Baton Rouge,LA
70791,Zachary,LA
28303,Fayetteville,NC
70767,Port Allen,LA
49508,Grand Rapids,MI
70570,Opelousas,LA
70560,New Iberia,LA
21740,Hagerstown,MD
21536,Grantsville,MD
21502,Cumberland,MD
21532,Frostburg,MD
21244,Windsor Mill,MD
21237,Rosedale,MD
21224,Baltimore,MD
21078,Havre de Grace,MD
21060,Glen Burnie,MD
20906,Silver Spring,MD
20784,Hyattsville,MD
20783,Hyattsville,MD
29574,Mullins,SC
89102,Las Vegas,NV
89434,Sparks,NV
89032,North Las Vegas,NV
89148,Las Vegas,NV
89101,Las Vegas,NV
89106,Las Vegas,NV
89107,Las Vegas,NV
89115,Las Vegas,NV
89030,North Las Vegas,NV
89104,Las Vegas,NV
89110,Las Vegas,NV
89121,Las Vegas,NV
89122,Las Vegas,NV
89014,Henderson,NV
89005,Boulder City,NV
59901,Kalispell,MT
59404,Great Falls,MT
38614,Clarksdale,MS
61801,Urbana,IL
85364,Yuma,AZ
85704,Tucson,AZ
85743,Tucson,AZ
85705,Tucson,AZ
85706,Tucson,AZ
85711,Tucson,AZ
85716,Tucson,AZ
85283,Tempe,AZ
85379,Surprise,AZ
85250,Scottsdale,AZ
85254,Scottsdale,AZ
85053,Phoenix,AZ
35565,Haleyville,AL
36037,Greenville,AL
35214,Birmingham,AL
54303,Green Bay,WI
54115,De Pere,WI
54935,Fond du Lac,WI
48180,Taylor,MI
48174,Romulus,MI
48170,Plymouth,MI
48124,Dearborn,MI
48103,Ann Arbor,MI
48080,Saint Clair Shores,MI
04965,Palmyra,ME
04769,Presque Isle,ME
04605,Ellsworth,ME
04073,Sanford,ME
37047,Cornersville,TN
37055,Dickson,TN
30263,Newnan,GA
30265,Newnan,GA
30439,Metter,GA
30060,Marietta,GA
31816,Manchester,GA
31201,Macon,GA
31210,Macon,GA
30553,Lavonia,GA
30144,Kennesaw,GA
77573,League City,TX
76133,Fort Worth,TX
77083,Houston,TX
75211,Dallas,TX
78753,Austin,TX
78727,Austin,TX
87107,Albuquerque,NM
87501,Santa Fe,NM
80134,Parker,CO
80228,Denver,CO
91307,West Hills,CA
91362,Thousand Oaks,CA
91401,Van Nuys,CA
90505,Torrance,CA
98374,Puyallup,WA
98499,Lakewood,WA
64503,Saint Joseph,MO
63301,Saint Charles,MO
63775,Perryville,MO
63069,Pacific,MO
63132,Saint Louis,MO
65708,Monett,MO
65712,Mount Vernon,MO
63043,Maryland Heights,MO
63501,Kirksville,MO
64155,Kansas City,MO
64111,Kansas City,MO
65109,Jefferson City,MO
63042,Hazelwood,MO
63026,Fenton,MO
63025,Eureka,MO
63640,Farmington,MO
63841,Dexter,MO
65201,Columbia,MO
65202,Columbia,MO
80122,Littleton,CO
38570,Livingston,TN
85017,Phoenix,AZ
37918,Knoxville,TN
37934,Knoxville,TN
37122,Mount Juliet,TN
37659,Jonesborough,TN
38305,Jackson,TN
37343,Hixson,TN
37743,Greeneville,TN
38401,Columbia,TN
37411,Chattanooga,TN
37421,Chattanooga,TN
38133,Memphis,TN
57104,Sioux Falls,SD
29302,Spartanburg,SC
80601,Brighton,CO
76022,Bedford,TX
19973,Seaford,DE
96002,Redding,CA
92683,Westminster,CA
92108,San Diego,CA
93926,Gonzales,CA
94002,Belmont,CA
80246,Denver,CO
55404,Minneapolis,MN
48505,Flint,MI
74701,Durant,OK
75048,Sachse,TX
76018,Arlington,TX
48329,Waterford,MI
74467,Wagoner,OK
77954,Cuero,TX
74008,Bixby,OK
79109,Amarillo,TX
76710,Waco,TX
76087,Weatherford,TX
74953,Poteau,OK
74033,Glenpool,OK
73034,Edmond,OK
73044,Guthrie,OK
73110,Oklahoma City,OK
73170,Oklahoma City,OK
73160,Oklahoma City,OK
92111,San Diego,CA
71801,Hope,AR
72901,Fort Smith,AR
72034,Conway,AR
72023,Cabot,AR
72712,Bentonville,AR
53548,Janesville,WI
94545,Hayward,CA
80301,Boulder,CO
93003,Ventura,CA
91950,National City,CA
21061,Glen Burnie,MD
68048,Plattsmouth,NE
37388,Tullahoma,TN
68922,Arapahoe,NE
37321,Dayton,TN
68803,Grand Island,NE
37377,Signal Mountain,TN
79707,Midland,TX
37361,Ocoee,TN
79413,Lubbock,TX
37327,Dunlap,TN
77346,Humble,TX
37174,Spring Hill,TN
37210,Nashville,TN
37312,Cleveland,TN
76051,Grapevine,TX
37211,Nashville,TN
37188,White House,TN
37160,Shelbyville,TN
37166,Smithville,TN
37138,Old Hickory,TN
37130,Murfreesboro,TN
97462,Oakland,OR
80550,Windsor,CO
97459,North Bend,OR
97038,Molalla,OR
37075,Hendersonville,TN
37087,Lebanon,TN
81230,Gunnison,CO
97034,Lake Oswego,OR
37066,Gallatin,TN
97845,John Day,OR
37072,Goodlettsville,TN
37074,Hartsville,TN
92618,Irvine,CA
60543,Oswego,IL
54915,Appleton,WI
48360,Lake Orion,MI
80016,Aurora,CO
87109,Albuquerque,NM
30518,Buford,GA
43229,Columbus,OH
80104,Castle Rock,CO
44109,Cleveland,OH
02144,Somerville,MA
19958,Lewes,DE
74145,Tulsa,OK
06460,Milford,CT
80004,Arvada,CO
85374,Surprise,AZ
80233,Denver,CO
80127,Littleton,CO
85737,Tucson,AZ
80215,Denver,CO
77328,Cleveland,TX
77386,Spring,TX
53074,Port Washington,WI
47978,Rensselaer,IN
45895,Wapakoneta,OH
44281,Wadsworth,OH
48189,Whitmore Lake,MI
15061,Monaca,PA
64030,Grandview,MO
91406,Van Nuys,CA
91786,Upland,CA
91355,Valencia,CA
90740,Seal Beach,CA
92071,Santee,CA
62010,Bethalto,IL
32837,Orlando,FL
70072,Marrero,LA
32514,Pensacola,FL
38134,Memphis,TN
32084,Saint Augustine,FL
37406,Chattanooga,TN
37408,Chattanooga,TN
30906,Augusta,GA
20678,Prince Frederick,MD
45245,Cincinnati,OH
90630,Cypress,CA
62471,Vandalia,IL
62568,Taylorville,IL
61951,Sullivan,IL
32839,Orlando,FL
32792,Winter Park,FL
29154,Sumter,SC
29582,North Myrtle Beach,SC
29680,Simpsonville,SC
29073,Lexington,SC
29673,Piedmont,SC
29810,Allendale,SC
29210,Columbia,SC
29803,Aiken,SC
84121,Salt Lake City,UT
85021,Phoenix,AZ
85048,Phoenix,AZ
85201,Mesa,AZ
85215,Mesa,AZ
85306,Glendale,AZ
85234,Gilbert,AZ
