GEOID,INTPTLAT,INTPTLONG,POP10,location,TotalArea_SqKM,PopDensity_SqKM
00687,18.319026,-66.42055699999999,32610,"{'type': 'Point', 'coordinates': [-66.42055699999999, 18.319026]}",100.815718,323.46146659392934
00688,18.382310999999998,-66.626416,13543,"{'type': 'Point', 'coordinates': [-66.626416, 18.382310999999998]}",82.480818,164.19575276278178
00690,18.49551,-67.098671,6255,"{'type': 'Point', 'coordinates': [-67.098671, 18.49551]}",7.303732,856.4114893591386
00692,18.410188,-66.336556,37511,"{'type': 'Point', 'coordinates': [-66.336556, 18.410188]}",71.307658,526.044481786234
00693,18.422987,-66.397214,61038,"{'type': 'Point', 'coordinates': [-66.397214, 18.422987]}",105.492483,578.6004676750287
00694,18.482073,-66.391274,328,"{'type': 'Point', 'coordinates': [-66.391274, 18.482073]}",4.027561,81.43886585454571
00698,18.064848,-66.856319,41782,"{'type': 'Point', 'coordinates': [-66.856319, 18.064848]}",188.074476,222.1566737211061
00703,18.248401,-66.130662,28605,"{'type': 'Point', 'coordinates': [-66.130662, 18.248401]}",76.88373,372.05531001162404
00704,17.965770000000003,-66.219555,8577,"{'type': 'Point', 'coordinates': [-66.219555, 17.965770000000003]}",14.401599,595.5588681506824
00705,18.128961,-66.266683,25598,"{'type': 'Point', 'coordinates': [-66.266683, 18.128961]}",82.820613,309.07764471629787
00707,18.014055,-65.920751,12225,"{'type': 'Point', 'coordinates': [-65.920751, 18.014055]}",58.378211,209.41032262876297
00714,18.003025,-66.046237,19566,"{'type': 'Point', 'coordinates': [-66.046237, 18.003025]}",37.906225,516.1685184953132
00715,18.011232999999997,-66.56006500000001,3656,"{'type': 'Point', 'coordinates': [-66.56006500000001, 18.011232999999997]}",20.531972,178.06375344755
00716,17.991269,-66.606774,33779,"{'type': 'Point', 'coordinates': [-66.606774, 17.991269]}",30.092091,1122.5208643693122
00717,18.003222,-66.614037,18457,"{'type': 'Point', 'coordinates': [-66.614037, 18.003222]}",5.521263,3342.8945514821517
00718,18.231988,-65.759623,26606,"{'type': 'Point', 'coordinates': [-65.759623, 18.231988]}",120.62906,220.5604520171176
00719,18.289927,-66.25344,30990,"{'type': 'Point', 'coordinates': [-66.25344, 18.289927]}",73.426186,422.0565126452299
00720,18.217945999999998,-66.428076,23129,"{'type': 'Point', 'coordinates': [-66.428076, 18.217945999999998]}",154.669144,149.5385530807619
00723,18.043498,-66.015479,19277,"{'type': 'Point', 'coordinates': [-66.015479, 18.043498]}",120.873655,159.48057498550864
00725,18.218819,-66.042375,89374,"{'type': 'Point', 'coordinates': [-66.042375, 18.218819]}",110.533137,808.5720031631781
00727,18.215308,-66.073565,58382,"{'type': 'Point', 'coordinates': [-66.073565, 18.215308]}",55.703794,1048.0794180733901
00728,17.989853,-66.664116,44908,"{'type': 'Point', 'coordinates': [-66.664116, 17.989853]}",62.143534,722.6496001981477
00729,18.323585,-65.883206,53750,"{'type': 'Point', 'coordinates': [-65.883206, 18.323585]}",88.323503,608.5582905379104
00730,18.030831,-66.616838,35742,"{'type': 'Point', 'coordinates': [-66.616838, 18.030831]}",16.982023,2104.696242609022
00731,18.109947000000002,-66.635622,15524,"{'type': 'Point', 'coordinates': [-66.635622, 18.109947000000002]}",126.412431,122.80437831307904
00735,18.252603,-65.68249399999999,13730,"{'type': 'Point', 'coordinates': [-65.68249399999999, 18.252603]}",62.211311,220.69941589882265
00736,18.103624,-66.151667,51532,"{'type': 'Point', 'coordinates': [-66.151667, 18.103624]}",142.780712,360.9170964212589
00738,18.308717,-65.738915,34922,"{'type': 'Point', 'coordinates': [-65.738915, 18.308717]}",154.956293,225.36677487502882
00739,18.177232999999998,-66.160645,39678,"{'type': 'Point', 'coordinates': [-66.160645, 18.177232999999998]}",82.906735,478.5859677142032
00740,18.331178,-65.63410400000001,2071,"{'type': 'Point', 'coordinates': [-65.63410400000001, 18.331178]}",1.144306,1809.8305872729845
00741,18.163854999999998,-65.754042,4971,"{'type': 'Point', 'coordinates': [-65.754042, 18.163854999999998]}",8.913876,557.6698621340481
00745,18.352216000000002,-65.817387,55062,"{'type': 'Point', 'coordinates': [-65.817387, 18.352216000000002]}",139.831198,393.77478550959705
00751,18.001317,-66.252183,23129,"{'type': 'Point', 'coordinates': [-66.252183, 18.001317]}",151.008306,153.16376040931152
00754,18.147107000000002,-65.976167,40828,"{'type': 'Point', 'coordinates': [-65.976167, 18.147107000000002]}",132.406098,308.354378058932
00757,17.995441,-66.391334,23263,"{'type': 'Point', 'coordinates': [-66.391334, 17.995441]}",82.856759,280.7616455285199
00765,18.130095999999998,-65.439369,9098,"{'type': 'Point', 'coordinates': [-65.439369, 18.130095999999998]}",51.058991,178.18605150266288
00766,18.133195999999998,-66.476916,26488,"{'type': 'Point', 'coordinates': [-66.476916, 18.133195999999998]}",107.440698,246.53600072479054
00767,18.069489,-65.89616099999999,38019,"{'type': 'Point', 'coordinates': [-65.89616099999999, 18.069489]}",150.306324,252.94344900617756
00769,18.1038,-66.357586,40248,"{'type': 'Point', 'coordinates': [-66.357586, 18.1038]}",198.207429,203.05999731220973
00771,18.187148,-65.871189,38394,"{'type': 'Point', 'coordinates': [-65.871189, 18.187148]}",87.623633,438.1694605152927
00772,18.438968,-65.905168,23105,"{'type': 'Point', 'coordinates': [-65.905168, 18.438968]}",51.607931,447.70250526028644
00773,18.342888000000002,-65.723109,20068,"{'type': 'Point', 'coordinates': [-65.723109, 18.342888000000002]}",65.53935,306.1977270143814
00775,18.326598999999998,-65.30771999999999,1786,"{'type': 'Point', 'coordinates': [-65.30771999999999, 18.326598999999998]}",60.782601,29.383408584308526
00777,18.224133,-65.90854200000001,40684,"{'type': 'Point', 'coordinates': [-65.90854200000001, 18.224133]}",69.172058,588.156564605899
00778,18.264076,-65.97851,45429,"{'type': 'Point', 'coordinates': [-65.97851, 18.264076]}",77.892608,583.2260745461239
00780,18.102834,-66.568105,13800,"{'type': 'Point', 'coordinates': [-66.568105, 18.102834]}",52.890281,260.9175020265065
00782,18.225707999999997,-66.221633,19304,"{'type': 'Point', 'coordinates': [-66.221633, 18.225707999999997]}",69.32849,278.44252774003877
00783,18.303910000000002,-66.32617900000001,36557,"{'type': 'Point', 'coordinates': [-66.32617900000001, 18.303910000000002]}",108.384059,337.29129852942674
00784,18.010714,-66.133615,44637,"{'type': 'Point', 'coordinates': [-66.133615, 18.010714]}",160.153892,278.71317669882166
00786,18.155424,-66.229907,357,"{'type': 'Point', 'coordinates': [-66.229907, 18.155424]}",0.666251,535.834092556709
00791,18.136782,-65.821476,53417,"{'type': 'Point', 'coordinates': [-65.821476, 18.136782]}",98.590402,541.8073049342065
00794,18.198954999999998,-66.309833,30585,"{'type': 'Point', 'coordinates': [-66.309833, 18.198954999999998]}",91.49759,334.2710993808689
00795,18.060494,-66.500624,48736,"{'type': 'Point', 'coordinates': [-66.500624, 18.060494]}",120.764496,403.5623185145409
00901,18.465369,-66.104613,7080,"{'type': 'Point', 'coordinates': [-66.104613, 18.465369]}",2.566138,2759.009842806583
00906,18.46446,-66.094995,4,"{'type': 'Point', 'coordinates': [-66.094995, 18.46446]}",0.008247,485.02485752394807
00907,18.452552999999998,-66.077838,17458,"{'type': 'Point', 'coordinates': [-66.077838, 18.452552999999998]}",3.466053,5036.853158333124
00909,18.44161,-66.067132,6230,"{'type': 'Point', 'coordinates': [-66.067132, 18.44161]}",1.630265,3821.4646085145664
00911,18.451159,-66.05619899999999,8623,"{'type': 'Point', 'coordinates': [-66.05619899999999, 18.451159]}",1.232508,6996.303472269552
00912,18.445334,-66.060139,6801,"{'type': 'Point', 'coordinates': [-66.060139, 18.445334]}",0.86297,7880.922859427326
00913,18.450001999999998,-66.04265600000001,9312,"{'type': 'Point', 'coordinates': [-66.04265600000001, 18.450001999999998]}",0.83484,11154.23314647118
00915,18.437179,-66.045571,32820,"{'type': 'Point', 'coordinates': [-66.045571, 18.437179]}",4.43031,7408.059481164974
00917,18.420673999999998,-66.050105,21053,"{'type': 'Point', 'coordinates': [-66.050105, 18.420673999999998]}",3.407001,6179.33484610072
00918,18.421022,-66.065789,18056,"{'type': 'Point', 'coordinates': [-66.065789, 18.421022]}",5.618127,3213.8824914424326
00920,18.414292,-66.088042,17893,"{'type': 'Point', 'coordinates': [-66.088042, 18.414292]}",7.470072,2395.291504553102
00921,18.392292,-66.088528,37763,"{'type': 'Point', 'coordinates': [-66.088528, 18.392292]}",6.925339,5452.873859315768
00923,18.409307000000002,-66.038888,29086,"{'type': 'Point', 'coordinates': [-66.038888, 18.409307000000002]}",5.292849,5495.339088645831
00924,18.399192000000003,-66.01245300000001,56691,"{'type': 'Point', 'coordinates': [-66.01245300000001, 18.399192000000003]}",12.14836,4666.555814941276
00925,18.400296,-66.050602,8696,"{'type': 'Point', 'coordinates': [-66.050602, 18.400296]}",1.158082,7508.967413361057
00926,18.3454,-66.05154499999999,108862,"{'type': 'Point', 'coordinates': [-66.05154499999999, 18.3454]}",63.626777,1710.9463206033524
00927,18.388011,-66.072089,14936,"{'type': 'Point', 'coordinates': [-66.072089, 18.388011]}",6.809516,2193.4011169075743
00934,18.411313,-66.124234,288,"{'type': 'Point', 'coordinates': [-66.124234, 18.411313]}",1.967214,146.39993412002966
00936,18.395463,-66.07377199999999,681,"{'type': 'Point', 'coordinates': [-66.07377199999999, 18.395463]}",0.417954,1629.3659110811238
00949,18.430695999999998,-66.21283299999999,82278,"{'type': 'Point', 'coordinates': [-66.21283299999999, 18.430695999999998]}",47.647148,1726.8189902992724
00950,18.459699,-66.233101,9,"{'type': 'Point', 'coordinates': [-66.233101, 18.459699]}",8.194322,1.0983214962751038
00951,18.427529999999997,-66.253789,35,"{'type': 'Point', 'coordinates': [-66.253789, 18.427529999999997]}",1.105181,31.66902073054097
00952,18.427448000000002,-66.18202600000001,10008,"{'type': 'Point', 'coordinates': [-66.18202600000001, 18.427448000000002]}",3.204976,3122.644288131955
00953,18.360729,-66.251527,73014,"{'type': 'Point', 'coordinates': [-66.251527, 18.360729]}",70.508744,1035.5311392300507
00956,18.321137,-66.170419,79304,"{'type': 'Point', 'coordinates': [-66.170419, 18.321137]}",68.779906,1153.0111716058466
00957,18.368414,-66.18769300000001,45680,"{'type': 'Point', 'coordinates': [-66.18769300000001, 18.368414]}",11.969153,3816.477239450444
00959,18.385785000000002,-66.155654,50560,"{'type': 'Point', 'coordinates': [-66.155654, 18.385785000000002]}",16.699796,3027.581893814751
00960,18.416747,-66.144485,1779,"{'type': 'Point', 'coordinates': [-66.144485, 18.416747]}",2.368816,751.0080985606312
00961,18.413307,-66.164683,32429,"{'type': 'Point', 'coordinates': [-66.164683, 18.413307]}",13.573318,2389.1726400280313
00962,18.444614,-66.14881899999999,22491,"{'type': 'Point', 'coordinates': [-66.14881899999999, 18.444614]}",11.010236,2042.7355053969777
00965,18.433757,-66.114752,9134,"{'type': 'Point', 'coordinates': [-66.114752, 18.433757]}",2.075304,4401.282896385301
00966,18.401521,-66.117597,16676,"{'type': 'Point', 'coordinates': [-66.117597, 18.401521]}",8.344306,1998.4885501562385
00968,18.406085,-66.101232,3478,"{'type': 'Point', 'coordinates': [-66.101232, 18.406085]}",1.185643,2933.4293712356925
00969,18.368062,-66.108062,42219,"{'type': 'Point', 'coordinates': [-66.108062, 18.368062]}",12.688066,3327.457470665742
00971,18.318884,-66.11919,30986,"{'type': 'Point', 'coordinates': [-66.11919, 18.318884]}",41.437158,747.7829439943735
00976,18.33618,-65.994101,65136,"{'type': 'Point', 'coordinates': [-65.994101, 18.33618]}",44.086486,1477.4595552932026
00979,18.444394,-66.030036,17030,"{'type': 'Point', 'coordinates': [-66.030036, 18.444394]}",4.551643,3741.5060891199064
00982,18.411261,-65.99204499999999,16428,"{'type': 'Point', 'coordinates': [-65.99204499999999, 18.411261]}",3.691443,4450.292202805244
00983,18.417816000000002,-65.975819,39234,"{'type': 'Point', 'coordinates': [-65.975819, 18.417816000000002]}",9.581065,4094.951865998195
00985,18.410774,-65.947927,36553,"{'type': 'Point', 'coordinates': [-65.947927, 18.410774]}",21.815843,1675.5254426794324
00987,18.338161,-65.94108299999999,63661,"{'type': 'Point', 'coordinates': [-65.94108299999999, 18.338161]}",64.773016,982.8321102108323
01001,42.062368,-72.625754,16769,"{'type': 'Point', 'coordinates': [-72.625754, 42.062368]}",31.916031,525.4099421071498
01002,42.364059999999995,-72.458741,29049,"{'type': 'Point', 'coordinates': [-72.458741, 42.364059999999995]}",146.894497,197.75417454882603
01003,42.389697999999996,-72.52400899999999,10372,"{'type': 'Point', 'coordinates': [-72.52400899999999, 42.389697999999996]}",1.855175,5590.847224655356
01005,42.418848,-72.10659799999999,5079,"{'type': 'Point', 'coordinates': [-72.10659799999999, 42.418848]}",115.304331,44.048648961850354
01007,42.27901,-72.400468,14649,"{'type': 'Point', 'coordinates': [-72.400468, 42.27901]}",143.180288,102.31156959259644
01008,42.190191,-72.954263,1263,"{'type': 'Point', 'coordinates': [-72.954263, 42.190191]}",144.455353,8.74318586172435
01009,42.209669,-72.339743,741,"{'type': 'Point', 'coordinates': [-72.339743, 42.209669]}",2.104351,352.1275680720564
01010,42.128176,-72.205352,3609,"{'type': 'Point', 'coordinates': [-72.205352, 42.128176]}",91.475839,39.45304070947084
01011,42.300281,-72.968716,1370,"{'type': 'Point', 'coordinates': [-72.968716, 42.300281]}",82.17322,16.672098282141068
01012,42.375425,-72.858192,661,"{'type': 'Point', 'coordinates': [-72.858192, 42.375425]}",34.514997,19.15109539195382
01013,42.154903999999995,-72.602804,23188,"{'type': 'Point', 'coordinates': [-72.602804, 42.154903999999995]}",16.299212,1422.645462860413
01020,42.172602000000005,-72.562073,29668,"{'type': 'Point', 'coordinates': [-72.562073, 42.172602000000005]}",33.469686,886.414052405511
01022,42.197741,-72.542713,2451,"{'type': 'Point', 'coordinates': [-72.542713, 42.197741]}",12.342552,198.58129825987365
01026,42.465495000000004,-72.918267,946,"{'type': 'Point', 'coordinates': [-72.918267, 42.465495000000004]}",62.506231,15.134491151770133
01027,42.295008,-72.75187700000001,17660,"{'type': 'Point', 'coordinates': [-72.75187700000001, 42.295008]}",106.099057,166.44822771610495
01028,42.062378,-72.498111,15720,"{'type': 'Point', 'coordinates': [-72.498111, 42.062378]}",33.686636,466.65389800275693
01029,42.193395,-73.044647,789,"{'type': 'Point', 'coordinates': [-73.044647, 42.193395]}",46.365254,17.01705333049615
01030,42.072925,-72.686972,11669,"{'type': 'Point', 'coordinates': [-72.686972, 42.072925]}",31.095923,375.2581970311671
01031,42.32938,-72.19815600000001,1308,"{'type': 'Point', 'coordinates': [-72.19815600000001, 42.32938]}",21.012723,62.24800088974665
01032,42.457613,-72.81478,570,"{'type': 'Point', 'coordinates': [-72.81478, 42.457613]}",31.355159,18.178826648590746
01033,42.244949,-72.50014300000001,6227,"{'type': 'Point', 'coordinates': [-72.50014300000001, 42.244949]}",72.706151,85.64612366840873
01034,42.093911999999996,-72.96110300000001,2021,"{'type': 'Point', 'coordinates': [-72.96110300000001, 42.093911999999996]}",190.632242,10.601564450991454
01035,42.356491,-72.568632,5250,"{'type': 'Point', 'coordinates': [-72.568632, 42.356491]}",63.725204,82.38498538192205
01036,42.071188,-72.41771800000001,5109,"{'type': 'Point', 'coordinates': [-72.41771800000001, 42.071188]}",50.541976,101.08429476520665
01037,42.372728,-72.195412,838,"{'type': 'Point', 'coordinates': [-72.195412, 42.372728]}",40.496023,20.6933900645009
01038,42.385496,-72.60692900000001,2545,"{'type': 'Point', 'coordinates': [-72.60692900000001, 42.385496]}",28.118919,90.50845802429318
01039,42.404287,-72.688924,1336,"{'type': 'Point', 'coordinates': [-72.688924, 42.404287]}",34.826739,38.36132920742306
01040,42.211656,-72.642448,39880,"{'type': 'Point', 'coordinates': [-72.642448, 42.211656]}",59.143503,674.29215344245
01050,42.286762,-72.869695,2530,"{'type': 'Point', 'coordinates': [-72.869695, 42.286762]}",101.84615,24.841390666215663
01053,42.356301,-72.713584,1685,"{'type': 'Point', 'coordinates': [-72.713584, 42.356301]}",13.541789,124.42964515249795
01054,42.468897999999996,-72.48457900000001,1851,"{'type': 'Point', 'coordinates': [-72.48457900000001, 42.468897999999996]}",59.452664,31.13401276686273
01056,42.183577,-72.457812,21103,"{'type': 'Point', 'coordinates': [-72.457812, 42.183577]}",73.399359,287.50932279939934
01057,42.093596000000005,-72.321494,8534,"{'type': 'Point', 'coordinates': [-72.321494, 42.093596000000005]}",117.922421,72.36961323919901
01060,42.321488,-72.630588,15284,"{'type': 'Point', 'coordinates': [-72.630588, 42.321488]}",31.543508,484.537103482593
01062,42.323033,-72.701789,11150,"{'type': 'Point', 'coordinates': [-72.701789, 42.323033]}",47.413335,235.1659084938868
01063,42.318882,-72.63853,430,"{'type': 'Point', 'coordinates': [-72.63853, 42.318882]}",0.100502,4278.521820461285
01066,42.406909000000006,-72.655015,64,"{'type': 'Point', 'coordinates': [-72.655015, 42.406909000000006]}",1.959635,32.65914315676134
01068,42.350862,-72.044248,1902,"{'type': 'Point', 'coordinates': [-72.044248, 42.350862]}",54.958903,34.607677667802065
01069,42.188862,-72.30648000000001,8469,"{'type': 'Point', 'coordinates': [-72.30648000000001, 42.188862]}",73.472158,115.26815368618955
01070,42.518446000000004,-72.91901700000001,629,"{'type': 'Point', 'coordinates': [-72.91901700000001, 42.518446000000004]}",53.940036,11.661097148693042
01071,42.160064,-72.87384,1596,"{'type': 'Point', 'coordinates': [-72.87384, 42.160064]}",41.125709,38.807841586390644
01072,42.456967999999996,-72.417244,1478,"{'type': 'Point', 'coordinates': [-72.417244, 42.456967999999996]}",53.348999,27.70436236301266
01073,42.226949,-72.74158800000001,5792,"{'type': 'Point', 'coordinates': [-72.74158800000001, 42.226949]}",74.998471,77.22824109307508
01074,42.387603000000006,-72.09323,319,"{'type': 'Point', 'coordinates': [-72.09323, 42.387603000000006]}",0.27313,1167.9420056383408
01075,42.256208,-72.58103,17527,"{'type': 'Point', 'coordinates': [-72.58103, 42.256208]}",47.659905,367.7514674022116
01077,42.05257,-72.777353,9502,"{'type': 'Point', 'coordinates': [-72.777353, 42.05257]}",81.971183,115.9187857518172
01079,42.194344,-72.328868,692,"{'type': 'Point', 'coordinates': [-72.328868, 42.194344]}",3.030055,228.37869279600537
01080,42.185727,-72.361558,2334,"{'type': 'Point', 'coordinates': [-72.361558, 42.185727]}",4.728922,493.5585742374266
01081,42.061313,-72.234411,1698,"{'type': 'Point', 'coordinates': [-72.234411, 42.061313]}",38.159846,44.49703491989983
01082,42.293533000000004,-72.278599,10322,"{'type': 'Point', 'coordinates': [-72.278599, 42.293533000000004]}",135.649458,76.0931901401331
01083,42.203641999999995,-72.194599,2888,"{'type': 'Point', 'coordinates': [-72.194599, 42.203641999999995]}",40.955663,70.51527892491937
01084,42.39237,-72.882235,176,"{'type': 'Point', 'coordinates': [-72.882235, 42.39237]}",24.021362,7.326811860210092
01085,42.153503,-72.771602,41117,"{'type': 'Point', 'coordinates': [-72.771602, 42.153503]}",157.596641,260.9002307352477
01086,42.130446,-72.79396700000001,687,"{'type': 'Point', 'coordinates': [-72.79396700000001, 42.130446]}",0.096152,7144.937182793909
01088,42.391709000000006,-72.64649399999999,670,"{'type': 'Point', 'coordinates': [-72.64649399999999, 42.391709000000006]}",13.494369,49.65033933783788
01089,42.125451,-72.649734,28391,"{'type': 'Point', 'coordinates': [-72.649734, 42.125451]}",45.398046,625.3793390138421
01092,42.191868,-72.235108,1394,"{'type': 'Point', 'coordinates': [-72.235108, 42.191868]}",17.45632,79.8564645927664
01093,42.441943,-72.661817,325,"{'type': 'Point', 'coordinates': [-72.661817, 42.441943]}",13.077047,24.85270566053636
01094,42.359108,-72.1368,351,"{'type': 'Point', 'coordinates': [-72.1368, 42.359108]}",3.130121,112.13624010062232
01095,42.138498999999996,-72.420715,14319,"{'type': 'Point', 'coordinates': [-72.420715, 42.138498999999996]}",59.008035,242.66186799814636
01096,42.397138,-72.763554,2217,"{'type': 'Point', 'coordinates': [-72.763554, 42.397138]}",82.545255,26.85799444195793
01097,42.178038,-72.832612,111,"{'type': 'Point', 'coordinates': [-72.832612, 42.178038]}",5.061377,21.930790770970034
01098,42.394315,-72.943115,1101,"{'type': 'Point', 'coordinates': [-72.943115, 42.394315]}",81.615607,13.490066918205976
01103,42.104106,-72.592027,2479,"{'type': 'Point', 'coordinates': [-72.592027, 42.104106]}",1.396913,1774.6273389967735
01104,42.134009000000006,-72.56537800000001,22865,"{'type': 'Point', 'coordinates': [-72.56537800000001, 42.134009000000006]}",13.722522,1666.238902732311
01105,42.099958,-72.580765,12350,"{'type': 'Point', 'coordinates': [-72.580765, 42.099958]}",3.526002,3502.550480686057
01106,42.047565000000006,-72.57113000000001,16021,"{'type': 'Point', 'coordinates': [-72.57113000000001, 42.047565000000006]}",25.361569,631.703819270803
01107,42.12106,-72.607068,11611,"{'type': 'Point', 'coordinates': [-72.607068, 42.12106]}",3.99263,2908.108189338857
01108,42.080692,-72.56079100000001,26688,"{'type': 'Point', 'coordinates': [-72.56079100000001, 42.080692]}",10.054449,2654.34734414586
01109,42.119673999999996,-72.549726,30250,"{'type': 'Point', 'coordinates': [-72.549726, 42.119673999999996]}",14.58285,2074.3544643193886
01118,42.094194,-72.525081,14071,"{'type': 'Point', 'coordinates': [-72.525081, 42.094194]}",9.573115,1469.8454996101061
01119,42.124978000000006,-72.51120999999999,14152,"{'type': 'Point', 'coordinates': [-72.51120999999999, 42.124978000000006]}",9.436034,1499.782641732745
01128,42.092296000000005,-72.489135,2631,"{'type': 'Point', 'coordinates': [-72.489135, 42.092296000000005]}",2.888669,910.8000951303178
01129,42.118671,-72.488203,7019,"{'type': 'Point', 'coordinates': [-72.488203, 42.118671]}",9.113156,770.2051846802578
01151,42.15186,-72.50913100000001,8698,"{'type': 'Point', 'coordinates': [-72.50913100000001, 42.15186]}",6.614445,1315.0007294640745
01199,42.120563,-72.60446800000001,0,"{'type': 'Point', 'coordinates': [-72.60446800000001, 42.120563]}",0.028277,0.0
01201,42.448236,-73.27372700000001,46504,"{'type': 'Point', 'coordinates': [-73.27372700000001, 42.448236]}",143.854485,323.27111664262674
01220,42.623799,-73.116736,8603,"{'type': 'Point', 'coordinates': [-73.116736, 42.623799]}",63.880564,134.6732004432522
01222,42.058703,-73.322175,829,"{'type': 'Point', 'coordinates': [-73.322175, 42.058703]}",8.899226,93.15416868837806
01223,42.312225,-73.110124,2314,"{'type': 'Point', 'coordinates': [-73.110124, 42.312225]}",186.003471,12.440628056881799
01224,42.513163,-73.19574300000001,182,"{'type': 'Point', 'coordinates': [-73.19574300000001, 42.513163]}",0.802753,226.71980048657556
01225,42.563401,-73.153335,3117,"{'type': 'Point', 'coordinates': [-73.153335, 42.563401]}",66.860415,46.619513205235116
01226,42.481119,-73.13507299999999,6945,"{'type': 'Point', 'coordinates': [-73.13507299999999, 42.481119]}",68.650038,101.16527539285558
01229,42.276338,-73.33589599999999,95,"{'type': 'Point', 'coordinates': [-73.33589599999999, 42.276338]}",1.899054,50.02490713797501
